No.,NT_Name {properties.title},ID,DCMSList,Strapline,Y {latitude},X {longitude},Lines,Town,County,Country,Postcode,Region,Phone,Email,Website {properties.url},"{$.@id=""https://w3id.org/locolligo/National-Trust-Sites""}"
11,Dudmaston,111,1,A working estate with an old family home at its heart,52.495701,-2.36803,Quatt,near Bridgnorth,Shropshire,England,WV15 6QN,Midlands,4.41747E+11,dudmaston@nationaltrust.org.uk,https://www.nationaltrust.org.uk/dudmaston,
12,King John's Hunting Lodge,190,1,Wool-merchant's house of circa 1500,51.2864,-2.82384,The Square,Axbridge,Somerset,England,BS26 2AP,South West,4.41935E+11,kingjohns@nationaltrust.org.uk,https://www.nationaltrust.org.uk/king-johns-hunting-lodge,
13,Marley Common,6061,0,"Coconut-scents, purple heather and intimate woodland walks",51.073106,-0.7356069,Marley Lane,Haslemere,Surrey,England,GU27 3PU,London and South East,4.41429E+11,southdownswest@nationaltrust.org.uk,https://www.nationaltrust.org.uk/marley-common,
14,Owletts,253,1,Family home of the renowned architect Sir Herbert Baker,51.39313,0.391894,The Street; Cobham,Gravesend,Kent,England,DA12 3AP,London and South East,4.41733E+11,owletts@nationaltrust.org.uk,https://www.nationaltrust.org.uk/owletts,
15,Nether Alderley Mill,238,1,"Concealed under the long sloping roof of this medieval building is a fully restored, working corn mill.",53.281101,-2.23655,Congleton Road; Nether Alderley,Macclesfield,Cheshire,England,SK10 4TW,North West,4.41626E+11,netheralderleymill@nationaltrust.org.uk,https://www.nationaltrust.org.uk/nether-alderley-mill,
16,Sandilands,900011,0,A new haven for nature on Lincolnshire's wild coast,53.298127,0.294369,Huttoft Bank,nr Sutton-on-Sea,Lincolnshire,England,LN13 9RS,Midlands,4.41755E+11,sandilands@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sandilands,
17,Brownsea Island,54,1,"Famous for red squirrels, wildlife and Scouting",50.6884,-1.95622,Poole Harbour,Poole,Dorset,England,BH13 7EE,South West,4.41203E+11,brownseaisland@nationaltrust.org.uk,https://www.nationaltrust.org.uk/brownsea-island,
18,Biddulph Grange Garden,32,1,"A masterpiece of Victorian garden design - a quirky, playful paradise",53.129601,-2.15629,Grange Road,Biddulph,Staffordshire,England,ST8 7SD,Midlands,4.41783E+11,biddulphgrange@nationaltrust.org.uk,https://www.nationaltrust.org.uk/biddulph-grange-garden,
19,Black Down,6055,0,The highest point in the South Downs National Park,51.0700074,-0.6873412,Tennyson's Lane,Haslemere,Surrey,England,GU27 3BJ,London and South East,4.41429E+11,southdownswest@nationaltrust.org.uk,https://www.nationaltrust.org.uk/black-down,
20,Ashleworth Tithe Barn,16,1,15th-century tithe barn,51.924198,-2.26572,--,Ashleworth,Gloucestershire,England,GL19 4JA,South West,4.41453E+11,cotswolds@nationaltrust.org.uk,https://www.nationaltrust.org.uk/ashleworth-tithe-barn,
21,Fenton House and Garden,129,1,Handsome 17th-century house with walled garden,51.558773,-0.180926,Hampstead Grove,Hampstead,London,England,NW3 6SP,London and South East,4.42074E+11,fentonhouse@nationaltrust.org.uk,https://www.nationaltrust.org.uk/fenton-house-and-garden,
22,Alfriston Clergy House,6,1,The first building saved forever for the nation by the National Trust ,50.803299,0.16206,The Tye; Alfriston,Polegate,East Sussex,England,BN26 5TL,London and South East,4.41324E+11,alfriston@nationaltrust.org.uk,https://www.nationaltrust.org.uk/alfriston-clergy-house,
23,Finchampstead Ridges,90004,0,Finchampstead Ridges,51.36420527,-0.839402349,--,--,--,--,--,--,--,--,--,
24,Dunstanburgh Castle,114,1,Massive ruined castle in an impressive coastal setting,55.4911,-1.59632,Craster,Alnwick,Northumberland,England,NE66 3TT,Yorkshire and North East,--,dunstanburghcastle@nationaltrust.org.uk,https://www.nationaltrust.org.uk/dunstanburgh-castle,
25,Claife Viewing Station and Windermere West Shore,169,0,Colourful Viewing Station with endless lake views and waterside paths,54.351458,-2.942319,Beside the Ferry on Windermere's west shore; near Far Sawrey,Hawkshead,Cumbria,England,--,North West,4.41539E+11,claife@nationaltrust.org.uk,https://www.nationaltrust.org.uk/claife-viewing-station-and-windermere-west-shore,
26,Compton Bay and Downs,5078,0,One of the Island's favourite beaches and biggest expanses of open downland,50.655106,-1.4664884,Compton,--,Isle of Wight,England,PO30 4HB,London and South East,4.41984E+11,comptonbay@nationaltrust.org.uk,https://www.nationaltrust.org.uk/compton-bay-and-downs,
27,Petts Wood and Hawkwood,6074,0,An oasis of peace and tranquillity only 13 miles south-east from the centre of London,51.398808,0.082993,--,Chislehurst,Kent,England,BR5 1NZ,London and South East,4.41733E+11,pettswood@nationaltrust.org.uk,https://www.nationaltrust.org.uk/petts-wood-and-hawkwood,
28,New Forest Northern Commons,6132,0,"A colourful mosaic of blooming heather and gorse, braided wetlands and ancient woodland pasture",50.873754,-1.7679058,New Forest,--,Hampshire,--,--,London and South East,4.41426E+11,info.newforest@nationaltrust.org.uk,https://www.nationaltrust.org.uk/new-forest-northern-commons,
29,Hardy's Cottage,168,1,Evocative cob and thatch cottage - birthplace of Thomas Hardy,50.731308,-2.386136,Higher Bockhampton,near Dorchester,Dorset,England,DT2 8QJ,South West,4.41305E+11,hardyscottage@nationaltrust.org.uk,https://www.nationaltrust.org.uk/hardys-cottage,
30,Great Chalfield Manor and Garden,150,1,Charming 15th-century manor house with Arts and Crafts garden,51.368198,-2.19942,--,near Melksham,Wiltshire,England,SN12 8NH,South West,4.41226E+11,greatchalfieldmanor@nationaltrust.org.uk,https://www.nationaltrust.org.uk/great-chalfield-manor-and-garden,
31,Downs Banks,5234,0,A little wilderness of woodlands and heath in the heart of the Midlands,52.927613,-2.150201,Washdale Lane; Oulton Heath,Near Stone,Staffordshire,England,--,Midlands,4.4189E+11,downsbanks@nationaltrust.org.uk,https://www.nationaltrust.org.uk/downs-banks,
32,Southwood Estate,6206,0,"Explore Southwood's timeless landscape of wooded valleys, floral fields and craggy clifftops. Stretching straight to the sea, this charming coastal spot is full of scenic surprises.",51.8509,-5.1142,--,"Newgale, Roch",Pembrokeshire,Wales,SA62 6AR,Wales,4.41438E+11,southwoodestate@nationaltrust.org.uk,https://www.nationaltrust.org.uk/southwood-estate,
33,Burton Bradstock,5444,0,Spectacular coastline with cliffs and miles of unspoilt beaches,50.696606,-2.722042,--,near Bridport,Dorset,England,--,South West,4.41297E+11,burtonbradstock@nationaltrust.org.uk,https://www.nationaltrust.org.uk/burton-bradstock,
34,Long Crendon Courthouse,210,1,Medieval courthouse,51.775002,-0.98567,Long Crendon,Aylesbury,Buckinghamshire,England,HP18 9AN,London and South East,4.41281E+11,longcrendon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/long-crendon-courthouse,
35,Greyfriars' House and Garden,153,1,"Late medieval merchant's house, rescued from demolition, in Worcester city centre",52.190455,-2.21898,Friar Street,Worcester,Worcestershire,England,WR1 2LZ,Midlands,44190523571,greyfriars@nationaltrust.org.uk,https://www.nationaltrust.org.uk/greyfriars-house-and-garden,
36,Hambledon Hill,6204,0,Iron Age hill fort with far reaching views and spectacular wildflowers,50.911692,-2.22182,Child Okeford,--,Dorset,England,DT11 8HD,South West,4.41297E+11,westdorset@nationaltrust.org.uk,https://www.nationaltrust.org.uk/hambledon-hill,
37,Nuffield Place,4521,1,The home of one of the most remarkable men of the 20th century,51.585772,-1.02099,Huntercombe,near Henley-on-Thames,Oxfordshire,England,RG9 5RY,London and South East,4.41492E+11,nuffieldplace@nationaltrust.org.uk,https://www.nationaltrust.org.uk/nuffield-place,
38,Ashclyst Forest,6220,0,A magical forest on the Killerton estate and one of the largest woods in East Devon.,50.7875671,-3.421156,Forest Gate car park; near Broadclyst,Exeter,Devon,England,--,South West,4.41393E+11,killerton@nationaltrust.org.uk,https://www.nationaltrust.org.uk/ashclyst-forest,
39,Cleddau Woodlands,6018,0,"Follow the Cleddau waterway through tranquil, ancient woodland, expansive salt marsh and heritage-rich tidal creeks. Its journey from river to estuary is as peaceful and picturesque as they come.",51.719232,-4.878005,Little Milford: SA62 4ET; Lawrenny: SA68 0PR,West Williamston: SA68 0TL,--,--,--,Wales,4.41438E+11,cleddauwoodlands@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cleddau-woodlands,
40,Oldbury Hill,6071,0,Discover the remains of an Iron Age hill fort,51.278589,0.262127,Styants Bottom Road; Near Ightham Common,Ightham,Kent,England,TN15 0ET,London and South East,4.41733E+11,northkentcountryside@nationaltrust.org.uk,https://www.nationaltrust.org.uk/oldbury-hill,
41,Bateman's,24,1,"Jacobean house, home of Rudyard Kipling",50.987701,0.37695,Bateman's Lane,Burwash,East Sussex,England,TN19 7DS,London and South East,4.41436E+11,batemans@nationaltrust.org.uk,https://www.nationaltrust.org.uk/batemans,
42,Paxton's Tower,6151,1,"Neo-Gothic folly erected in honour of Lord Nelson, situated on a hilltop near Llanarthney in the Towy Valley",51.851831,-4.11978,Llanarthney,Carmarthen,Carmarthenshire,Wales,--,Wales,4.41559E+11,paxtonstower@nationaltrust.org.uk,--,
43,Hardwick Estate: Stainsby Mill,310,1,A wonderful world of wheels and water,53.183275,-1.31952,Doe Lea,Chesterfield,Derbyshire,England,S44 5RW,Midlands,4.41247E+11,stainsbymill@nationaltrust.org.uk,https://www.nationaltrust.org.uk/hardwick-estate-stainsby-mill,
44,Denbies Hillside,5371,0,Dramatic and stunning chalk escarpment with panoramic views,51.240398,-0.361131,Ranmore Common Road,near Dorking,Surrey,England,RH5 6SR,London and South East,4.41307E+11,northdownswest@nationaltrust.org.uk,https://www.nationaltrust.org.uk/denbies-hillside,
45,Tarn Hows and Coniston,4554,0,Majestic views and peaceful walks in beautiful countryside,54.387268,-3.038192,--,near Coniston,Cumbria,England,--,North West,4.41539E+11,tarnhows@nationaltrust.org.uk,https://www.nationaltrust.org.uk/tarn-hows-and-coniston,
46,Cadbury Camp,5070,0,Iron Age hill fort on the ridge above the village of Tickenham in North Somerset,51.4479,-2.78711,Above Tickenham,Nr Clevedon,North Somerset,England,BS20,South West,4.4118E+11,leighwoods@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cadbury-camp,
47,Carne and Pendower,6142,0,Two amazing sandy beaches on the Roseland peninsula,50.207385,-4.937177,Carne beach; Veryan,Truro,Cornwall,England,TR2 5PF,South West,4.41873E+11,carne@nationaltrust.org.uk,https://www.nationaltrust.org.uk/carne-and-pendower,
48,Sandymouth,5414,0,A popular but unspoilt beach of pebbles and sand backed by incredible twisted cliffs.,50.861586,-4.553875,near Bude,--,Cornwall,England,--,South West,4.41209E+11,bude@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sandymouth,
49,Lytes Cary Manor,218,1,Intimate manor house with Arts and Crafts-style garden,51.036701,-2.67134,--,near Somerton,Somerset,England,TA11 7HU,South West,4.41458E+11,lytescarymanor@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lytes-cary-manor,
50,Whitehaven Coast,6188,0,There are hidden gems of history and wildlife along this post-industrial coastline,54.543763,-3.598891,"Whitehaven Coast; Haig Pit Car Park, Solway Road",Whitehaven,Cumbria,England,CA28 9BG,North West,4.41769E+11,whitehavencoast@nationaltrust.org.uk,https://www.nationaltrust.org.uk/whitehaven-coast,
51,Steam Yacht Gondola,146,0,Rebuilt Victorian steam-powered yacht on Coniston Water,54.363899,-3.06483,Coniston Pier; Lake Road,Coniston,Cumbria,England,LA21 8AN,North West,4.41539E+11,sygondola@nationaltrust.org.uk,https://www.nationaltrust.org.uk/steam-yacht-gondola,
52,Dunsland,5082,0,A grand Parkland abundant in wildlife and with over 900 years of history,50.825348,-4.258894,Dunsland Park; Brandis Corner,"Holemoor, Nr Holsworthy",Devon,England,EX22 7YE,South West,4.41237E+11,northdevon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/dunsland,
53,Reigate Hill and Gatton Park,5445,0,A spectacular escarpment with sweeping views across the Weald,51.25422,-0.200137,Reigate Hill; Wray Lane,Reigate,Surrey,England,RH2 0HX,London and South East,4.41343E+11,reigate@nationaltrust.org.uk,https://www.nationaltrust.org.uk/reigate-hill-and-gatton-park,
54,Abereiddi to Abermawr,5409,0,"Blue Lagoon, beaches, rocks and ruins; this wild stretch of coastline is where industry and adventure combine. Dive right into the past and see how stone quarries have paved the way for thrill-seekers.",51.93824,-5.207767,Abereiddi: SA62 6DT; Abermawr: SA62 5UX,--,--,--,--,Wales,4.41438E+11,abereidditoabermawr@nationaltrust.org.uk,https://www.nationaltrust.org.uk/abereiddi-to-abermawr,
55,"Kinder, Edale and the High Peak",4509,0,Heather-clad moors of Kinder to the gritstone tors of Derwent Edge,53.3458,-1.8156,near Hope Valley,--,Derbyshire,England,S33 8WA nearest postcode area,Midlands,4.41434E+11,peakdistrict@nationaltrust.org.uk,https://www.nationaltrust.org.uk/kinder-edale-and-the-high-peak,
56,Lavington Common,6060,0,A rare pocket of open heath amongst plantation woodland,50.9601325,-0.6503195,Woolbeding Estate Office; Linch Road,Woolbeding,West Sussex,England,GU29 OQB,London and South East,4.41731E+11,southdownswest@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lavington-common,
57,Castle Drogo,68,1,"Nothing is normal. Dramatic castle overlooking the Teign Gorge, undergoing a conservation project to make it watertight",50.698898,-3.80881,Drewsteignton,near Exeter,Devon,England,EX6 6PB,South West,4.41647E+11,castledrogo@nationaltrust.org.uk,https://www.nationaltrust.org.uk/castle-drogo,
58,Sunnycroft,325,1,"A comfortable home telling the story of a brewer, a widow and three generations of the Lander family",52.6955,-2.5167,200 Holyhead Road; Wellington,Telford,Shropshire,England,TF1 2DR,Midlands,4.41952E+11,sunnycroft@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sunnycroft,
59,Dinton Park and Philipps House,261,1,Enjoy far-reaching rolling parkland with tranquil views in the grounds of a Neo-Grecian house. ,51.0849,-1.98937,Dinton,Salisbury,Wiltshire,England,SP3 5HH,South West,4.41673E+11,sw.customerenquiries@nationaltrust.org.uk,https://www.nationaltrust.org.uk/dinton-park-and-philipps-house,
60,Townend,333,1,Atmospheric farmhouse full of quirky objects and fascinating stories,54.412498,-2.91477,Troutbeck,Windermere,Cumbria,England,LA23 1LB,North West,4.41539E+11,townend@nationaltrust.org.uk,https://www.nationaltrust.org.uk/townend,
61,Sissinghurst Castle Garden,299,1,"Historic, poetic, iconic; a refuge dedicated to beauty. Vita Sackville-West and Harold Nicolson fell in love with Sissinghurst Castle and created a world renowned garden. ",51.113899,0.58511,Biddenden Road,near Cranbrook,Kent,England,TN17 2AB,London and South East,4.41581E+11,sissinghurst@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sissinghurst-castle-garden,
62,Sticklebarn and The Langdales,5216,0,"An adventure playground of rugged slopes, craggy summits and a cracking pint ",54.44897,-3.0902951,Great Langdale,near Ambleside,Cumbria,England,LA22 9JU,North West,4.41539E+11,sticklebarn@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sticklebarn-and-the-langdales,
63,Aira Force and Ullswater,343,0,Aira Force is a showcase for the power and beauty of nature; it's a place to escape the ordinary.,54.5751,-2.92949,near Watermillock,Penrith,Cumbria,England,CA11 0JS,North West,4.41768E+11,ullswater@nationaltrust.org.uk,https://www.nationaltrust.org.uk/aira-force-and-ullswater,
64,Murlough National Nature Reserve,543,0,An extraordinarily beautiful dune landscape,54.224645,-5.88365,Keel Point,Dundrum,County Down,Northern Ireland,BT33 0NQ,Northern Ireland,4.42844E+11,murlough@nationaltrust.org.uk,https://www.nationaltrust.org.uk/murlough-national-nature-reserve,
65,King's Head,186,1,Historic ancient coaching inn in the heart of Aylesbury,51.8164723,-0.8135919,King's Head Passage; Market Square,Aylesbury,Buckinghamshire,England,HP20 2RW,London and South East,4.41297E+11,info@farmersbar.co.uk,https://www.nationaltrust.org.uk/kings-head,
66,Bodiam Castle,42,1,Archetypal 14th century moated castle with ruined interior - a glimpse of medieval splendour,51.000099,0.54741,Bodiam,near Robertsbridge,East Sussex,England,TN32 5UA,London and South East,4.41581E+11,bodiamcastle@nationaltrust.org.uk,https://www.nationaltrust.org.uk/bodiam-castle,
67,Holmwood Common,6125,0,Ancient common once owned by King Harold and William the Conqueror,51.20124286,-0.32673614,Blackbrook Road,Holmwood,Surrey,England,RH5 4NX,London and South East,4.41307E+11,leithhill@nationaltrust.org.uk,https://www.nationaltrust.org.uk/holmwood-common,
68,Kyson Hill,6211,0,Escape from it all at Kyson Hill,52.080922,1.309956,Broomheath,Woodbridge,Suffolk,England,IP12 4DN,East of England,4.41394E+11,kysonhill@nationaltrust.org.uk,https://www.nationaltrust.org.uk/kyson-hill,
69,Bibury,5059,1,A row of tenanted 17th-century weavers' cottages and water meadow set in the Cotswold village of Bibury,51.759018,-1.833845,Bibury; Nr Cirencester,--,Gloucestershire,England,GL7 5NP,South West,4.41452E+11,cotswolds@nationaltrust.org.uk.,https://www.nationaltrust.org.uk/bibury,
70,Rosedene,2588,1,Mid 19th-century Chartist cottage,52.354698,-2.10304,Victoria Road; Dodford,near Bromsgrove,Worcestershire,England,B61 9BU,Midlands,4.41528E+11,rosedene@nationaltrust.org.uk,https://www.nationaltrust.org.uk/rosedene,
71,Dyrham Park,119,1,"Ancient parkland, 17th-century house and garden",51.4805,-2.3629,Dyrham,near Bath,South Gloucestershire,England,SN14 8HY,South West,4.41179E+11,dyrhampark@nationaltrust.org.uk,https://www.nationaltrust.org.uk/dyrham-park,
72,Ennerdale,6196,0,Home of the Wild Ennerdale project with 30 miles of traffic-free paths,54.524792,-3.414473,Bleach Green car park; Ennerdale Bridge,Cleator Moor,Cumbria,England,CA23 3AS,North West,4.41769E+11,ennerdale@nationaltrust.org.uk,https://www.nationaltrust.org.uk/ennerdale,
73,"Gunby Estate, Hall and Gardens",155,1,A homely country house dated 1700 set in Victorian walled gardens at the foot of the Lincolnshire Wolds,53.178001,0.19669,Gunby,Spilsby,Lincolnshire,England,PE23 5SS,Midlands,4.41755E+11,gunbyhall@nationaltrust.org.uk,https://www.nationaltrust.org.uk/gunby-estate-hall-and-gardens,
74,Blakeney National Nature Reserve,33,0,Spectacular wildlife and uninterrupted views of beautiful coastline,52.957752,0.985829,Morston Quay; Quay Road,Morston,Norfolk,England,NR25 7BH,East of England,4.41264E+11,blakeneypoint@nationaltrust.org.uk,https://www.nationaltrust.org.uk/blakeney-national-nature-reserve,
75,Buscot Park,59,1,"Late 18th-century house, set in enchanting landscaped grounds",51.6703,-1.64498,--,Faringdon,Oxfordshire,England,SN7 8BU,London and South East,4.41367E+11,buscotpark@nationaltrust.org.uk,https://www.nationaltrust.org.uk/buscot-park,
76,Cemlyn,6190,0,"A ruggedly beautiful coastline of rocks, small bays and headlands to delight walkers. Area of Outstanding Natural Beauty.",53.412223,-4.5154109,Cemlyn Nature Reserve; Cemlyn,Cemaes Bay,Anglesey,Wales,LL67 0DY,Wales,4.41249E+11,cemlyn@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cemlyn,
77,Barrington Court,22,1,"An atmospheric fragment of old Somerset: an empty Tudor manor house, beautifully restored in the 1920s, with farm buildings, abundant flowers and orchards.",50.960499,-2.85778,Barrington,near Ilminster,Somerset,England,TA19 0NQ,South West,4.4146E+11,barringtoncourt@nationaltrust.org.uk,https://www.nationaltrust.org.uk/barrington-court,
78,Heddon Valley,170,0,"Towering cliffs, coves and a wooded valley within Exmoor National Park",51.215599,-3.92621,Heddon Valley; Near Parracombe,Barnstaple,Devon,England,EX31 4PY,South West,4.41599E+11,northdevon@nationaltrust.org.uk,https://www.nationaltrust.org.uk/heddon-valley,
79,Musbury Hill Fort,6089,0,A mysterious hill fort overlooking the beautiful village of Musbury,50.73977,-3.017635,Musbury,Axminster,Devon,England,EX13,South West,4.41752E+11,southdevon@nationaltrust.org.uk,--,
80,Crownley Woods,6077,0,Discover secluded creeks on this walk following the River Dart,50.395073,-3.666344,Ashprington,Totnes,Devon,England,TQ9,South West,4.41804E+11,southdevon@nationaltrust.org.uk,--,
81,Lisnabreeny,6115,0,A picturesque walk from wooded glen to hilltop rath,54.561886,-5.8889723,Manse Road,Belfast,County Down,Northern Ireland,BT8 6SA,Northern Ireland,4.42891E+11,belfast@nationaltrust.org.uk,https://www.nationaltrust.org.uk/lisnabreeny,
82,Cobham Wood and Mausoleum,2593,1,"Restored 18th-century mausoleum, set in peaceful wood pasture",51.38846,0.433238,near Cobham,--,Kent,England,--,London and South East,4.41733E+11,cobham@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cobham-wood-and-mausoleum,
83,Newtown National Nature Reserve and Old Town Hall,6004,1,"A quiet backwater with a busy Medieval past, now bursting with wildlife and a town hall with no town...",50.713617,-1.4014146,Town Lane,Newtown,Isle of Wight,England,PO30 4PA,London and South East,4.41984E+11,oldtownhall@nationaltrust.org.uk,https://www.nationaltrust.org.uk/newtown-national-nature-reserve-and-old-town-hall,
84,Marker's,90006,1,Medieval hall-house.,50.765734,-3.4400087,Townend; Broadclyst,Exeter,Devon,England,EX5 3HS,South West,4.41392E+11,markers@nationaltrust.org.uk,https://www.nationaltrust.org.uk/markers,
85,Cherryburn,75,1,"Cottage and farmhouse, the birthplace of Thomas Bewick",54.957001,-1.88361,Station Bank; Mickley Square,Stocksfield,Northumberland,England,NE43 7DD,Yorkshire and North East,4.41662E+11,cherryburn@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cherryburn,
86,Sandham Memorial Chapel,290,1,World famous chapel containing Stanley Spencer's visionary paintings,51.344799,-1.33691,Harts Lane; Burghclere,near Newbury,Hampshire,England,RG20 9JT,London and South East,4.41635E+11,sandham@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sandham-memorial-chapel,
87,Mendip Hills,5177,9,Dramatic gorges and ancient woodland rising above the Somerset Levels,51.296276,-2.721176,Mid Somerset,--,--,--,--,South West,4.41279E+11,somerset.countryside@nationaltrust.org.uk,https://www.nationaltrust.org.uk/mendip-hills,
88,Cotehele,96,1,"An atmospheric Tudor house with Medieval roots, a working mill on an historic quay, a glorious garden with valley views and an expansive estate to explore. ",50.494301,-4.22487,St Dominick,near Saltash,Cornwall,England,PL12 6TA,South West,4.41579E+11,cotehele@nationaltrust.org.uk,https://www.nationaltrust.org.uk/cotehele,
89,One Tree Hill,6072,0,A beautiful slice of Kent countryside,51.256627,0.23421297,Carter's Hill; Under River,Sevenoaks,Kent,England,TN15,London and South East,4.41733E+11,northkentcountryside@nationaltrust.org.uk,https://www.nationaltrust.org.uk/one-tree-hill,
90,Chartwell,72,1,Family home and garden of Sir Winston Churchill,51.2459,0.083513,Mapleton Road,Westerham,Kent,England,TN16 1PS,London and South East,4.41733E+11,chartwell@nationaltrust.org.uk,https://www.nationaltrust.org.uk/chartwell,
91,Newark Park,239,1,"Tudor hunting lodge to intriguing historic home, set in a spectacular estate",51.638802,-2.31369,Newark Park; Ozleworth,Wotton-under-Edge,Gloucestershire,England,GL12 7PZ,South West,4.41454E+11,newarkpark@nationaltrust.org.uk,https://www.nationaltrust.org.uk/newark-park,
92,Arlington Court and the National Trust Carriage Museum,12,1,"Intriguing Regency house and impressive collection of horse-drawn vehicles, set in a picturesque garden",51.145699,-3.98588,Arlington,near Barnstaple,Devon,England,EX31 4LP,South West,4.41272E+11,arlingtoncourt@nationaltrust.org.uk,https://www.nationaltrust.org.uk/arlington-court-and-the-national-trust-carriage-museum,
93,Clyston Mill,90005,1,A working watermill nestled by the River Clyst on the Killerton estate,50.7657297,-3.4475338,Clyston Mill; Broadclyst,Exeter,Devon,UK,EX5 3DX,South West,4.41393E+11,killerton@nationaltrust.org.uk,https://www.nationaltrust.org.uk/clyston-mill,
94,Priory Cottage,271,1,"Former monastic buildings, now converted into two houses",51.620098,-1.32658,1 Mill Street; Steventon,Abingdon,Oxfordshire,England,OX13 6SP,London and South East,4.41794E+11,priorycottages@nationaltrust.org.uk,https://www.nationaltrust.org.uk/priory-cottage,
95,Sheffield Park and Garden,295,1,Acres of landscape garden bordered by historic parkland and woodland,51,0.0094,Sheffield Park,Uckfield,East Sussex,England,TN22 3QX,London and South East,4.41826E+11,sheffieldpark@nationaltrust.org.uk,https://www.nationaltrust.org.uk/sheffield-park-and-garden,
96,Overbeck's Garden,252,1,A hidden paradise of subtropical gardens,50.2202,-3.78489,Sharpitor,Salcombe,Devon,England,TQ8 8LW,South West,4.41549E+11,overbecks@nationaltrust.org.uk,https://www.nationaltrust.org.uk/overbecks-garden,
97,Dalton Castle,103,1,14th-century tower built to assert the authority of the Abbot of Furness Abbey,54.153801,-3.18896,Market Place,Dalton-in-Furness,Cumbria,England,LA15 8AX,North West,4.4154E+11,sizergh@nationaltrust.org.uk,https://www.nationaltrust.org.uk/dalton-castle,
